"","HarvestDate","Plot","Organ","Block","WaterTreat","NitroTreat","BiomassWeight","NitrogenPerc","NitrogenWeight","Crop"
"1",2012-10-23,"1","Senesced","1","Irrigated","Median N",0,NA,NA,"Maize"
"2",2012-10-23,"1","Grain","1","Irrigated","Median N",0,NA,NA,"Maize"
"3",2012-10-23,"1","Husk","1","Irrigated","Median N",0,NA,NA,"Maize"
"4",2012-10-23,"1","Leaf","1","Irrigated","Median N",0,NA,NA,"Maize"
"5",2012-10-23,"1","Rachis","1","Irrigated","Median N",0,NA,NA,"Maize"
"6",2012-10-23,"1","Stem","1","Irrigated","Median N",0,NA,NA,"Maize"
"7",2012-10-23,"10","Senesced","2","Irrigated","Median N",0,NA,NA,"Maize"
"8",2012-10-23,"10","Grain","2","Irrigated","Median N",0,NA,NA,"Maize"
"9",2012-10-23,"10","Husk","2","Irrigated","Median N",0,NA,NA,"Maize"
"10",2012-10-23,"10","Leaf","2","Irrigated","Median N",0,NA,NA,"Maize"
"11",2012-10-23,"10","Rachis","2","Irrigated","Median N",0,NA,NA,"Maize"
"12",2012-10-23,"10","Stem","2","Irrigated","Median N",0,NA,NA,"Maize"
"13",2012-10-23,"11","Senesced","2","Dryland","Low N",0,NA,NA,"Maize"
"14",2012-10-23,"11","Grain","2","Dryland","Low N",0,NA,NA,"Maize"
"15",2012-10-23,"11","Husk","2","Dryland","Low N",0,NA,NA,"Maize"
"16",2012-10-23,"11","Leaf","2","Dryland","Low N",0,NA,NA,"Maize"
"17",2012-10-23,"11","Rachis","2","Dryland","Low N",0,NA,NA,"Maize"
"18",2012-10-23,"11","Stem","2","Dryland","Low N",0,NA,NA,"Maize"
"19",2012-10-23,"12","Senesced","2","Irrigated","High N",0,NA,NA,"Maize"
"20",2012-10-23,"12","Grain","2","Irrigated","High N",0,NA,NA,"Maize"
"21",2012-10-23,"12","Husk","2","Irrigated","High N",0,NA,NA,"Maize"
"22",2012-10-23,"12","Leaf","2","Irrigated","High N",0,NA,NA,"Maize"
"23",2012-10-23,"12","Rachis","2","Irrigated","High N",0,NA,NA,"Maize"
"24",2012-10-23,"12","Stem","2","Irrigated","High N",0,NA,NA,"Maize"
"25",2012-10-23,"13","Senesced","3","Dryland","Low N",0,NA,NA,"Maize"
"26",2012-10-23,"13","Grain","3","Dryland","Low N",0,NA,NA,"Maize"
"27",2012-10-23,"13","Husk","3","Dryland","Low N",0,NA,NA,"Maize"
"28",2012-10-23,"13","Leaf","3","Dryland","Low N",0,NA,NA,"Maize"
"29",2012-10-23,"13","Rachis","3","Dryland","Low N",0,NA,NA,"Maize"
"30",2012-10-23,"13","Stem","3","Dryland","Low N",0,NA,NA,"Maize"
"31",2012-10-23,"14","Senesced","3","Irrigated","Median N",0,NA,NA,"Maize"
"32",2012-10-23,"14","Grain","3","Irrigated","Median N",0,NA,NA,"Maize"
"33",2012-10-23,"14","Husk","3","Irrigated","Median N",0,NA,NA,"Maize"
"34",2012-10-23,"14","Leaf","3","Irrigated","Median N",0,NA,NA,"Maize"
"35",2012-10-23,"14","Rachis","3","Irrigated","Median N",0,NA,NA,"Maize"
"36",2012-10-23,"14","Stem","3","Irrigated","Median N",0,NA,NA,"Maize"
"37",2012-10-23,"15","Senesced","3","Irrigated","High N",0,NA,NA,"Maize"
"38",2012-10-23,"15","Grain","3","Irrigated","High N",0,NA,NA,"Maize"
"39",2012-10-23,"15","Husk","3","Irrigated","High N",0,NA,NA,"Maize"
"40",2012-10-23,"15","Leaf","3","Irrigated","High N",0,NA,NA,"Maize"
"41",2012-10-23,"15","Rachis","3","Irrigated","High N",0,NA,NA,"Maize"
"42",2012-10-23,"15","Stem","3","Irrigated","High N",0,NA,NA,"Maize"
"43",2012-10-23,"16","Senesced","3","Irrigated","Low N",0,NA,NA,"Maize"
"44",2012-10-23,"16","Grain","3","Irrigated","Low N",0,NA,NA,"Maize"
"45",2012-10-23,"16","Husk","3","Irrigated","Low N",0,NA,NA,"Maize"
"46",2012-10-23,"16","Leaf","3","Irrigated","Low N",0,NA,NA,"Maize"
"47",2012-10-23,"16","Rachis","3","Irrigated","Low N",0,NA,NA,"Maize"
"48",2012-10-23,"16","Stem","3","Irrigated","Low N",0,NA,NA,"Maize"
"49",2012-10-23,"17","Senesced","3","Dryland","High N",0,NA,NA,"Maize"
"50",2012-10-23,"17","Grain","3","Dryland","High N",0,NA,NA,"Maize"
