"","HarvestDate","Cover","Crop","WaterTreat","NitroTreat","Block","radn","RadInt","RadIntSum"
"1",2012-11-05,0,"Maize","Dryland","Low N","1",28.9,0,0
"2",2012-11-05,0,"Maize","Irrigated","Median N","3",28.9,0,0
"3",2012-11-05,0,"Maize","Dryland","Low N","2",28.9,0,0
"4",2012-11-05,0,"Maize","Dryland","Low N","4",28.9,0,0
"5",2012-11-05,0,"Maize","Dryland","High N","2",28.9,0,0
"6",2012-11-05,0,"Maize","Dryland","High N","3",28.9,0,0
"7",2012-11-05,0,"Maize","Dryland","Median N","2",28.9,0,0
"8",2012-11-05,0,"Maize","Dryland","Median N","3",28.9,0,0
"9",2012-11-05,0,"Maize","Dryland","Median N","4",28.9,0,0
"10",2012-11-05,0,"Maize","Irrigated","Low N","4",28.9,0,0
"11",2012-11-05,0,"Maize","Irrigated","Low N","3",28.9,0,0
"12",2012-11-05,0,"Maize","Irrigated","High N","3",28.9,0,0
"13",2012-11-05,0,"Maize","Irrigated","High N","2",28.9,0,0
"14",2012-11-05,0,"Maize","Irrigated","Median N","1",28.9,0,0
"15",2012-11-05,0,"Maize","Irrigated","Median N","2",28.9,0,0
"16",2012-11-05,0,"Maize","Dryland","Median N","1",28.9,0,0
"17",2012-11-05,0,"Maize","Dryland","Low N","3",28.9,0,0
"18",2012-11-05,0,"Maize","Dryland","High N","4",28.9,0,0
"19",2012-11-05,0,"Maize","Dryland","High N","1",28.9,0,0
"20",2012-11-05,0,"Maize","Irrigated","Low N","2",28.9,0,0
"21",2012-11-05,0,"Maize","Irrigated","High N","1",28.9,0,0
"22",2012-11-05,0,"Maize","Irrigated","High N","4",28.9,0,0
"23",2012-11-05,0,"Maize","Irrigated","Median N","4",28.9,0,0
"24",2012-11-05,0,"Maize","Irrigated","Low N","1",28.9,0,0
"25",2012-11-06,0,"Maize","Dryland","Low N","4",17,0,0
"26",2012-11-06,0,"Maize","Irrigated","High N","3",17,0,0
"27",2012-11-06,0,"Maize","Dryland","Median N","4",17,0,0
"28",2012-11-06,0,"Maize","Irrigated","Median N","3",17,0,0
"29",2012-11-06,0,"Maize","Dryland","Median N","2",17,0,0
"30",2012-11-06,0,"Maize","Dryland","Low N","2",17,0,0
"31",2012-11-06,0,"Maize","Irrigated","Median N","4",17,0,0
"32",2012-11-06,0,"Maize","Dryland","High N","2",17,0,0
"33",2012-11-06,0,"Maize","Irrigated","Median N","2",17,0,0
"34",2012-11-06,0,"Maize","Dryland","Median N","1",17,0,0
"35",2012-11-06,0,"Maize","Dryland","Median N","3",17,0,0
"36",2012-11-06,0,"Maize","Dryland","High N","4",17,0,0
"37",2012-11-06,0,"Maize","Dryland","High N","1",17,0,0
"38",2012-11-06,0,"Maize","Irrigated","Low N","3",17,0,0
"39",2012-11-06,0,"Maize","Irrigated","High N","1",17,0,0
"40",2012-11-06,0,"Maize","Irrigated","Low N","2",17,0,0
"41",2012-11-06,0,"Maize","Irrigated","High N","4",17,0,0
"42",2012-11-06,0,"Maize","Irrigated","Median N","1",17,0,0
"43",2012-11-06,0,"Maize","Dryland","Low N","1",17,0,0
"44",2012-11-06,0,"Maize","Dryland","Low N","3",17,0,0
"45",2012-11-06,0,"Maize","Irrigated","Low N","4",17,0,0
"46",2012-11-06,0,"Maize","Dryland","High N","3",17,0,0
"47",2012-11-06,0,"Maize","Irrigated","High N","2",17,0,0
"48",2012-11-06,0,"Maize","Irrigated","Low N","1",17,0,0
"49",2012-11-07,0,"Maize","Irrigated","High N","3",20,0,0
"50",2012-11-07,0,"Maize","Irrigated","Median N","3",20,0,0
"51",2012-11-07,0,"Maize","Dryland","Median N","3",20,0,0
"52",2012-11-07,0,"Maize","Dryland","Median N","2",20,0,0
"53",2012-11-07,0,"Maize","Irrigated","Low N","3",20,0,0
"54",2012-11-07,0,"Maize","Dryland","Low N","4",20,0,0
"55",2012-11-07,0,"Maize","Irrigated","High N","4",20,0,0
"56",2012-11-07,0,"Maize","Irrigated","Median N","1",20,0,0
"57",2012-11-07,0,"Maize","Irrigated","Median N","2",20,0,0
"58",2012-11-07,0,"Maize","Dryland","Low N","1",20,0,0
"59",2012-11-07,0,"Maize","Dryland","Low N","3",20,0,0
"60",2012-11-07,0,"Maize","Dryland","High N","2",20,0,0
"61",2012-11-07,0,"Maize","Dryland","High N","3",20,0,0
"62",2012-11-07,0,"Maize","Dryland","Median N","1",20,0,0
"63",2012-11-07,0,"Maize","Dryland","High N","4",20,0,0
"64",2012-11-07,0,"Maize","Dryland","Median N","4",20,0,0
"65",2012-11-07,0,"Maize","Irrigated","Low N","4",20,0,0
"66",2012-11-07,0,"Maize","Irrigated","Low N","2",20,0,0
"67",2012-11-07,0,"Maize","Irrigated","High N","1",20,0,0
"68",2012-11-07,0,"Maize","Irrigated","Median N","4",20,0,0
"69",2012-11-07,0,"Maize","Irrigated","High N","2",20,0,0
"70",2012-11-07,0,"Maize","Dryland","High N","1",20,0,0
"71",2012-11-07,0,"Maize","Dryland","Low N","2",20,0,0
"72",2012-11-07,0,"Maize","Irrigated","Low N","1",20,0,0
"73",2012-11-08,0,"Maize","Irrigated","Median N","1",24.1,0,0
