"","HarvestDate","Plot","Block","Nitrogen","Irrigation","LAI","Crop","WaterTreat","NitroTreat"
"1",2012-12-17,"1","1",75,"Irrigated",0.78,"Maize","Irrigated","Median N"
"2",2012-12-17,"2","1",0,"Irrigated",0.63,"Maize","Irrigated","Low N"
"3",2012-12-17,"3","1",250,"Dryland",0.82,"Maize","Dryland","High N"
"4",2012-12-17,"4","1",0,"Dryland",0.75,"Maize","Dryland","Low N"
"5",2012-12-17,"5","1",250,"Irrigated",0.85,"Maize","Irrigated","High N"
"6",2012-12-17,"6","1",75,"Dryland",0.83,"Maize","Dryland","Median N"
"7",2012-12-17,"7","2",0,"Irrigated",0.77,"Maize","Irrigated","Low N"
"8",2012-12-17,"8","2",75,"Dryland",0.8,"Maize","Dryland","Median N"
"9",2012-12-17,"9","2",250,"Dryland",0.91,"Maize","Dryland","High N"
"10",2012-12-17,"10","2",75,"Irrigated",0.85,"Maize","Irrigated","Median N"
"11",2012-12-17,"11","2",0,"Dryland",0.88,"Maize","Dryland","Low N"
"12",2012-12-17,"12","2",250,"Irrigated",0.88,"Maize","Irrigated","High N"
"13",2012-12-17,"13","3",0,"Dryland",0.9,"Maize","Dryland","Low N"
"14",2012-12-17,"14","3",75,"Irrigated",0.86,"Maize","Irrigated","Median N"
"15",2012-12-17,"15","3",250,"Irrigated",1,"Maize","Irrigated","High N"
"16",2012-12-17,"16","3",0,"Irrigated",0.89,"Maize","Irrigated","Low N"
"17",2012-12-17,"17","3",250,"Dryland",0.98,"Maize","Dryland","High N"
"18",2012-12-17,"18","3",75,"Dryland",1.1,"Maize","Dryland","Median N"
"19",2012-12-17,"19","4",250,"Dryland",1.03,"Maize","Dryland","High N"
"20",2012-12-17,"20","4",0,"Irrigated",0.72,"Maize","Irrigated","Low N"
"21",2012-12-17,"21","4",75,"Dryland",1.23,"Maize","Dryland","Median N"
"22",2012-12-17,"22","4",75,"Irrigated",0.82,"Maize","Irrigated","Median N"
"23",2012-12-17,"23","4",0,"Dryland",0.68,"Maize","Dryland","Low N"
"24",2012-12-17,"24","4",250,"Irrigated",1.19,"Maize","Irrigated","High N"
"25",2013-01-28,"1","1",75,"Irrigated",5.21,"Maize","Irrigated","Median N"
"26",2013-01-28,"2","1",0,"Irrigated",4.47,"Maize","Irrigated","Low N"
"27",2013-01-28,"3","1",250,"Dryland",2.79,"Maize","Dryland","High N"
"28",2013-01-28,"4","1",0,"Dryland",2.5,"Maize","Dryland","Low N"
"29",2013-01-28,"5","1",250,"Irrigated",4.01,"Maize","Irrigated","High N"
"30",2013-01-28,"6","1",75,"Dryland",3.17,"Maize","Dryland","Median N"
"31",2013-01-28,"7","2",0,"Irrigated",3.64,"Maize","Irrigated","Low N"
"32",2013-01-28,"8","2",75,"Dryland",2.56,"Maize","Dryland","Median N"
"33",2013-01-28,"9","2",250,"Dryland",2.96,"Maize","Dryland","High N"
"34",2013-01-28,"10","2",75,"Irrigated",4.9,"Maize","Irrigated","Median N"
"35",2013-01-28,"11","2",0,"Dryland",2.36,"Maize","Dryland","Low N"
"36",2013-01-28,"12","2",250,"Irrigated",5.12,"Maize","Irrigated","High N"
"37",2013-01-28,"13","3",0,"Dryland",2.42,"Maize","Dryland","Low N"
"38",2013-01-28,"14","3",75,"Irrigated",4.4,"Maize","Irrigated","Median N"
"39",2013-01-28,"15","3",250,"Irrigated",5.76,"Maize","Irrigated","High N"
"40",2013-01-28,"16","3",0,"Irrigated",4.17,"Maize","Irrigated","Low N"
"41",2013-01-28,"17","3",250,"Dryland",3.58,"Maize","Dryland","High N"
"42",2013-01-28,"18","3",75,"Dryland",3.15,"Maize","Dryland","Median N"
"43",2013-01-28,"19","4",250,"Dryland",3.91,"Maize","Dryland","High N"
"44",2013-01-28,"20","4",0,"Irrigated",4.38,"Maize","Irrigated","Low N"
"45",2013-01-28,"21","4",75,"Dryland",3.32,"Maize","Dryland","Median N"
"46",2013-01-28,"22","4",75,"Irrigated",5.62,"Maize","Irrigated","Median N"
"47",2013-01-28,"23","4",0,"Dryland",2.5,"Maize","Dryland","Low N"
"48",2013-01-28,"24","4",250,"Irrigated",6.35,"Maize","Irrigated","High N"
"49",2013-02-20,"1","1",75,"Irrigated",5.02,"Maize","Irrigated","Median N"
"50",2013-02-20,"2","1",0,"Irrigated",4.12,"Maize","Irrigated","Low N"
"51",2013-02-20,"3","1",250,"Dryland",2.38,"Maize","Dryland","High N"
"52",2013-02-20,"4","1",0,"Dryland",1.74,"Maize","Dryland","Low N"
"53",2013-02-20,"5","1",250,"Irrigated",3.68,"Maize","Irrigated","High N"
"54",2013-02-20,"6","1",75,"Dryland",2.02,"Maize","Dryland","Median N"
"55",2013-02-20,"7","2",0,"Irrigated",3.9,"Maize","Irrigated","Low N"
"56",2013-02-20,"8","2",75,"Dryland",2.28,"Maize","Dryland","Median N"
"57",2013-02-20,"9","2",250,"Dryland",2.3,"Maize","Dryland","High N"
"58",2013-02-20,"10","2",75,"Irrigated",4.45,"Maize","Irrigated","Median N"
"59",2013-02-20,"11","2",0,"Dryland",1.71,"Maize","Dryland","Low N"
"60",2013-02-20,"12","2",250,"Irrigated",5.84,"Maize","Irrigated","High N"
"61",2013-02-20,"13","3",0,"Dryland",1.88,"Maize","Dryland","Low N"
"62",2013-02-20,"14","3",75,"Irrigated",4.36,"Maize","Irrigated","Median N"
"63",2013-02-20,"15","3",250,"Irrigated",5.43,"Maize","Irrigated","High N"
"64",2013-02-20,"16","3",0,"Irrigated",3.72,"Maize","Irrigated","Low N"
"65",2013-02-20,"17","3",250,"Dryland",2.89,"Maize","Dryland","High N"
"66",2013-02-20,"18","3",75,"Dryland",2.62,"Maize","Dryland","Median N"
"67",2013-02-20,"19","4",250,"Dryland",2.95,"Maize","Dryland","High N"
"68",2013-02-20,"20","4",0,"Irrigated",4.02,"Maize","Irrigated","Low N"
"69",2013-02-20,"21","4",75,"Dryland",3.05,"Maize","Dryland","Median N"
"70",2013-02-20,"22","4",75,"Irrigated",4.84,"Maize","Irrigated","Median N"
"71",2013-02-20,"23","4",0,"Dryland",1.98,"Maize","Dryland","Low N"
"72",2013-02-20,"24","4",250,"Irrigated",4.58,"Maize","Irrigated","High N"
"73",2013-03-13,"1","1",75,"Irrigated",4.88,"Maize","Irrigated","Median N"
"74",2013-03-13,"2","1",0,"Irrigated",3.89,"Maize","Irrigated","Low N"
"75",2013-03-13,"3","1",250,"Dryland",1.86,"Maize","Dryland","High N"
"76",2013-03-13,"4","1",0,"Dryland",1.82,"Maize","Dryland","Low N"
"77",2013-03-13,"5","1",250,"Irrigated",4.23,"Maize","Irrigated","High N"
"78",2013-03-13,"6","1",75,"Dryland",0.95,"Maize","Dryland","Median N"
"79",2013-03-13,"7","2",0,"Irrigated",3.82,"Maize","Irrigated","Low N"
"80",2013-03-13,"8","2",75,"Dryland",1.12,"Maize","Dryland","Median N"
"81",2013-03-13,"9","2",250,"Dryland",2.13,"Maize","Dryland","High N"
"82",2013-03-13,"10","2",75,"Irrigated",4.3,"Maize","Irrigated","Median N"
"83",2013-03-13,"11","2",0,"Dryland",1.31,"Maize","Dryland","Low N"
"84",2013-03-13,"12","2",250,"Irrigated",5.13,"Maize","Irrigated","High N"
"85",2013-03-13,"13","3",0,"Dryland",1.45,"Maize","Dryland","Low N"
