Clock.Today	Nit	Irr	Wheat.Dead.Live.Nconc	Wheat.Dead.Live.Wt	Wheat.Grain.Live.Nconc	Wheat.Grain.Live.Wt	Wheat.Leaf.Live.Nconc	Wheat.Leaf.Live.Wt	Wheat.Rachis.Live.Nconc	Wheat.Rachis.Live.Wt	Wheat.Stem.Live.Nconc	Wheat.Stem.Live.Wt	SimulationName	Wheat.ear.Live.Wt
()    ()    ()    ()    ()    ()    ()    ()    ()    ()    ()    ()    ()    ()    ()
2015-10-29    0    Nil    *    0    *    0    0.0392    36.49625    *    0    0.0204    11.7    Lincoln2015Nit0IrrNil    0
2015-10-29    0    Full    *    0    *    0    0.042575    49.71225    *    0    0.024775    16.13975    Lincoln2015Nit0IrrFull    0
2015-10-29    50    Nil    *    0    *    0    0.041475    28.53325    *    0    0.022775    9.4615    Lincoln2015Nit50IrrNil    0
2015-10-29    50    Full    *    0    *    0    0.045625    31.56175    *    0    0.025175    8.612    Lincoln2015Nit50IrrFull    0
2015-10-29    250    Nil    *    0    *    0    0.05005    43.3075    *    0    0.02995    14.28025    Lincoln2015Nit250IrrNil    0
2015-10-29    250    Full    *    0    *    0    0.05055    43.65825    *    0    0.030875    12.64725    Lincoln2015Nit250IrrFull    0
2015-11-19    0    Nil    *    3.267    *    0    0.0297    58.993    *    0    0.009175    126.508    Lincoln2015Nit0IrrNil    0
2015-11-19    0    Full    *    1.89975    *    0    0.032075    99.90975    *    0    0.0103    143.9265    Lincoln2015Nit0IrrFull    0
2015-11-19    50    Nil    *    0.918    *    0    0.0338    65.10425    *    0    0.0108    124.87275    Lincoln2015Nit50IrrNil    0
2015-11-19    50    Full    *    0    *    0    0.0346    83.1445    *    0    0.0124    122.82475    Lincoln2015Nit50IrrFull    0
2015-11-19    250    Nil    *    0.057    *    0    0.04325    130.61775    *    0    0.01565    196.56    Lincoln2015Nit250IrrNil    0
2015-11-19    250    Full    *    0.3075    *    0    0.043225    158.3445    *    0    0.01815    178.066    Lincoln2015Nit250IrrFull    0
2015-12-03    0    Nil    0.011325    5.65075    *    0    0.027625    44.5155    *    0    0.007475    180.75075    Lincoln2015Nit0IrrNil    0
2015-12-03    0    Full    0.0084    5.3445    *    0    0.0269    69.51025    *    0    0.006825    218.87    Lincoln2015Nit0IrrFull    0
2015-12-03    50    Nil    *    1.282    *    0    0.0384    57.79825    *    0    0.0118    185.3515    Lincoln2015Nit50IrrNil    0
2015-12-03    50    Full    *    0.827    *    0    0.0361    93.55175    *    0    0.00985    252.75475    Lincoln2015Nit50IrrFull    0
2015-12-03    250    Nil    *    1.73875    *    0    0.04615    110.58775    *    0    0.015375    299.988    Lincoln2015Nit250IrrNil    0
2015-12-03    250    Full    *    2.53675    *    0    0.04755    181.088    *    0    0.017675    353.8235    Lincoln2015Nit250IrrFull    0
2015-12-15    0    Nil    0.00795    7.34725    *    0    0.0222    34.57675    *    0    0.00655    205.72175    Lincoln2015Nit0IrrNil    0
2015-12-15    0    Full    0.0058    10.61325    *    0    0.025575    66.97    *    0    0.00685    299.42325    Lincoln2015Nit0IrrFull    0
2015-12-15    50    Nil    *    4.46375    *    0    0.032225    48.979    *    0    0.00885    228.893    Lincoln2015Nit50IrrNil    0
2015-12-15    50    Full    *    3.35225    *    0    0.025575    90.15025    *    0    0.0104    350.7525    Lincoln2015Nit50IrrFull    0
2015-12-15    250    Nil    0.012725    12.591    *    0    0.039375    97.573    *    0    0.012475    389.571    Lincoln2015Nit250IrrNil    0
2015-12-15    250    Full    *    5.60875    *    0    0.044325    175.8465    *    0    0.012125    521.87325    Lincoln2015Nit250IrrFull    0
2016-01-06    0    Nil    0.00625    20.09575    0.01665    245.4075    0.021625    10.88525    *    71.416    0.006125    108.9205    Lincoln2015Nit0IrrNil    316.8235
2016-01-06    0    Full    0.006475    13.363    0.015775    312.93125    0.020125    39.24875    *    109.80575    0.00545    169.2715    Lincoln2015Nit0IrrFull    422.737
2016-01-06    50    Nil    0.008525    22.85975    0.0182    332.725    0.019825    16.81025    *    101.99525    0.006275    150.52    Lincoln2015Nit50IrrNil    434.72025
2016-01-06    50    Full    0.00695    13.7995    0.01635    331.70275    0.02195    62.729    *    160.656    0.0057    299.798    Lincoln2015Nit50IrrFull    492.35875
2016-01-06    250    Nil    0.011025    46.5575    0.02295    392.05775    0.023475    27.63775    *    137.74675    0.00765    291.7065    Lincoln2015Nit250IrrNil    529.8045
2016-01-06    250    Full    *    5.90425    0.021475    607.01025    0.033425    164.73025    *    224.23475    0.008925    552.00125    Lincoln2015Nit250IrrFull    831.245
2016-01-25    0    Nil    *    100.43775    0.01755    250.92075    *    *    *    63.04075    *    *    Lincoln2015Nit0IrrNil    313.9615
2016-02-01    50    Nil    *    157.232    0.0178    391.248    *    *    *    101.1355    *    *    Lincoln2015Nit50IrrNil    492.3835
2016-02-01    250    Nil    *    275.44    0.024375    531.66675    *    *    *    142.32075    *    *    Lincoln2015Nit250IrrNil    673.9875
2016-02-13    0    Full    *    142.207    0.01795    374.77175    *    *    *    93.9285    *    *    Lincoln2015Nit0IrrFull    468.70025
2016-02-13    50    Full    *    249.13875    0.017175    564.6885    *    *    *    145.063    *    *    Lincoln2015Nit50IrrFull    709.7515
2016-02-13    250    Full    *    444.6605    0.02175    907.82925    *    *    *    203.608    *    *    Lincoln2015Nit250IrrFull    1111.43725
